doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
duy-tri-hoc-bong-ho-tro-tai-chinh,data/hoc-phi-vinuni/duy-tri-hoc-bong-ho-tro-tai-chinh.md,Quy định duy trì Học bổng đầu vào và Hỗ trợ tài chính,https://policy.vinuni.edu.vn/wp-content/uploads/2025/09/GDL-SAM-004-V2.1_Tieu-chi-duy-tri-Hoc-bong-dau-vao-va-Ho-tro-tai-chinh_4.9.2025.pdf,2026-09-19,GDL-SAM-004-V2.1 (04/09/2025),public-source
faq-hoc-phi-hoc-bong,data/hoc-phi-vinuni/faq-hoc-phi-hoc-bong.md,"Câu hỏi thường gặp: Học phí, Học bổng và Hỗ trợ tài chính",https://admissions.vinuni.edu.vn/vi/dai-hoc/cau-hoi-thuong-gap/hoc-phi-hoc-bong-va-ho-tro-tai-chinh/,2026-09-19,not-stated,public-source
ho-tro-tai-chinh-sinh-vien-dang-hoc,data/hoc-phi-vinuni/ho-tro-tai-chinh-sinh-vien-dang-hoc.md,Hỗ trợ tài chính dành cho sinh viên đang học,https://admissions.vinuni.edu.vn/vi/hoc-bong-va-ho-tro-tai-chinh/cu-nhan/ho-tro-tai-chinh/,2026-09-19,not-stated,public-source
ho-tro-tai-chinh-tan-sinh-vien,data/hoc-phi-vinuni/ho-tro-tai-chinh-tan-sinh-vien.md,Hỗ trợ tài chính dành cho tân sinh viên (ứng viên mới),https://admissions.vinuni.edu.vn/vi/hoc-bong-va-ho-tro-tai-chinh/cu-nhan/ho-tro-tai-chinh/,2026-09-19,not-stated,public-source
hoc-bong-cu-nhan,data/hoc-phi-vinuni/hoc-bong-cu-nhan.md,Học bổng chương trình Đại học,https://admissions.vinuni.edu.vn/vi/hoc-bong-va-ho-tro-tai-chinh/cu-nhan/hoc-bong/,2026-09-19,not-stated,public-source
hoc-phi-cu-nhan,data/hoc-phi-vinuni/hoc-phi-cu-nhan.md,Học phí chương trình Cử nhân năm học 2026-2027,https://admissions.vinuni.edu.vn/vi/hoc-phi/cu-nhan/,2026-09-19,2026-2027,public-source
hoc-phi-sau-dai-hoc,data/hoc-phi-vinuni/hoc-phi-sau-dai-hoc.md,Học phí chương trình Sau đại học năm học 2024-2025,https://admissions.vinuni.edu.vn/vi/hoc-phi/sau-dai-hoc/,2026-09-19,2024-2025,public-source
huong-dan-de-nghi-ho-tro-tai-chinh,data/hoc-phi-vinuni/huong-dan-de-nghi-ho-tro-tai-chinh.md,Guidelines for Student Financial Aid Support Request,https://policy.vinuni.edu.vn/all-policies/guidelines-for-student-financial-support-request/,2026-09-19,GDL-FAO-001-V2.0 (22/04/2025),public-source
khoan-vay-sinh-vien,data/hoc-phi-vinuni/khoan-vay-sinh-vien.md,Chương trình Vay vốn Sinh viên,https://admissions.vinuni.edu.vn/vi/hoc-bong-va-ho-tro-tai-chinh/cu-nhan/khoan-vay-sinh-vien/,2026-09-19,not-stated,public-source
quy-dinh-tai-chinh-bieu-phi,data/hoc-phi-vinuni/quy-dinh-tai-chinh-bieu-phi.md,Quy định Tài chính và Biểu phí (dành cho sinh viên) năm học 2026-2027,https://policy.vinuni.edu.vn/wp-content/uploads/2026/08/VU_TS03.VN_Quy-dinh-tai-chinh-va-Bieu-phi_AY26-27_22.7.2026_Student.pdf,2026-09-19,VU_TS03.VN (22/07/2026),public-source
